Origin,Afghanistan,Albania,Algeria,American Samoa,Andorra,Angola,Anguilla,Antigua and Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia (Plurinational State of),Bosnia and Herzegovina,Botswana,Brazil,British Virgin Islands,Brunei Darussalam,Bulgaria,Burkina Faso,Burundi,Cabo Verde,Cambodia,Cameroon,Canada,Cayman Islands,Central African Rep.,Chad,Chile,China,"China, Hong Kong SAR","China, Macao SAR",Colombia,Comoros,Congo,Cook Islands,Costa Rica,Croatia,Cuba,Curaçao,Cyprus,Czech Rep.,Côte d'Ivoire,Dem. People's Rep. of Korea,Dem. Rep. of the Congo,Denmark,Djibouti,Dominica,Dominican Rep.,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,Ethiopia,Fiji,Finland,France,French Guiana,French Polynesia,Gabon,Gambia,Georgia,Germany,Ghana,Gibraltar,Greece,Grenada,Guadeloupe,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Holy See (the),Honduras,Hungary,Iceland,India,Indonesia,Iran (Islamic Rep. of),Iraq,Ireland,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,Kuwait,Kyrgyzstan,Lao People's Dem. Rep.,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Martinique,Mauritania,Mauritius,Mexico,Micronesia (Federated States of),Monaco,Mongolia,Montenegro,Morocco,Mozambique,Myanmar,Namibia,Nauru,Nepal,Netherlands,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,Niue,Norfolk Island,Norway,Oman,Pakistan,Palau,Palestinian,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Puerto Rico,Qatar,Rep. of Korea,Rep. of Moldova,Romania,Russia,Rwanda,Saint Kitts and Nevis,Saint Lucia,Saint Vincent and the Grenadines,Saint-Pierre-et-Miquelon,Samoa,San Marino,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia and Kosovo (S/RES/1244 (1999)),Seychelles,Sierra Leone,Singapore,Slovakia,Slovenia,Solomon Islands,Somalia,South Africa,South Sudan,Spain,Sri Lanka,Stateless,Sudan,Suriname,Svalbard and Jan Mayen,Swaziland,Sweden,Switzerland,Syrian Arab Rep.,Tajikistan,Thailand,The former Yugoslav Republic of Macedonia,Tibetan,Timor-Leste,Togo,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Turks and Caicos Islands,Tuvalu,Uganda,Ukraine,United Arab Emirates,United Kingdom,United Rep. of Tanzania,United States,Uruguay,Uzbekistan,Vanuatu,Various/Unknown,Venezuela (Bolivarian Republic of),Viet Nam,Wallis and Futuna Islands ,Western Sahara,Yemen,Zambia,Zimbabwe
Russia,0.871187566,0.925915349,0.985979906,,,0.467397954,,-0.098925362,-0.107038327,0.95596486,,,,0.983287336,-0.098925362,-0.09707539,0.270253746,-0.132952158,0.375917981,-0.098925362,,0.687151531,,0.425850222,-0.030665505,0.907824847,-0.091062978,-0.129734815,,,0.732573133,0.38837892,-0.102353636,-0.100929499,0.367896002,0.675628844,-0.091062978,,0.425850222,0.512423034,-0.08912052,0.110454474,-0.09707539,,0.096963793,0.425850222,0.257564994,,-0.098925362,0.200821684,0.329612028,,,-0.098925362,0.196605349,0.136184851,0.242199633,,0.231586944,0.269578178,0.416976879,-0.14243218,0.914032203,-0.054375301,0.425850222,0.445068108,-0.09707539,0.008341105,-0.10300143,,-0.176838146,,,0.495383321,0.002473496,0.971708933,,0.254572686,,-0.098925362,,,-0.098925362,0.454021253,0.382357953,0.304281921,0.42291217,,-0.112999186,-0.098925362,,0.793280669,-0.107939498,0.668253334,0.854695665,-0.135878978,0.350397058,0.18492576,-0.099959408,-0.142662618,0.116179342,0.39160899,0.557315883,,-0.111257889,0.284587197,,-0.137703185,0.87009386,-0.100929499,0.159708892,0.703083512,,-0.091062978,,0.425850222,-0.106822815,-0.099489043,,0.146999122,,,,0.435711372,-0.015669632,-0.093288447,,,0.058147715,0.890413603,0.908760296,-0.097827757,-0.079140373,-0.091062978,,-0.108015198,,,-0.09707539,-0.045101052,0.51435269,0.063639747,,,,,0.696811971,,0.006142962,,-0.09707539,,0.361456209,-0.109752827,0.143178722,-0.091062978,,,-0.105413503,0.876869047,-0.075701145,1,0.13262551,-0.014597441,-0.002188926,-0.129974338,,-0.09707539,,,0.178783044,0.198982262,0.927963393,,0.3921816,-0.09707539,-0.098925362,,-0.09707539,0.378741151,-0.014708045,0.791784075,0.302263243,0.357809129,0.466144693,0.456704173,0.385313905,,-0.130991364,,,0.5990431,0.854201691,-0.146051573,0.884688244,,,0.284836625,-0.106881789,-0.091062978,0.953797099,0.599508734,0.869393117,,-0.100929499,-0.113433017,0.759304829,,-0.09707539,-0.110122855,-0.148078461,,0.007530539,,0.637367697,0.381579623,0.318407601,,0.425850222,-0.073820477,-0.136836824,-0.103394944
Saudi Arabia,0.335355925,0.27676573,0.112892751,,,-0.146322161,,0.550695601,-0.094009394,0.107774422,,,,0.238810421,0.550695601,0.238797208,-0.18173696,0.6754205,0.22337541,0.550695601,,0.082859356,,-0.190063084,0.275830566,0.269793105,0.433733704,0.409980782,,,0.353275757,-0.099243368,-0.177872954,-0.190063084,-0.089872429,-0.022475545,0.433733704,,-0.190063084,-0.128560445,0.573083389,0.33120108,0.238797208,,0.428829226,-0.190063084,-0.267104527,,0.550695601,0.624968911,0.015638476,,,0.550695601,-0.250459463,0.290762181,-0.256219135,,0.154582598,0.147536245,-0.193355375,0.165360262,0.349141364,0.336691134,-0.190063084,0.09672891,0.238797208,-0.122186159,0.250630491,,0.762066735,,,-0.203178467,-0.150541198,0.207314835,,-0.088119702,,0.550695601,,,0.550695601,-0.226803993,-0.167954083,0.201968221,-0.169787007,,0.5627519,0.550695601,,0.442873753,-0.172252973,0.497559497,0.383583695,0.482191089,0.605207447,0.701040829,0.578706777,0.554483848,0.390941886,0.170359112,0.286085889,,0.565735454,0.234155149,,0.492242224,0.350625233,-0.190063084,-0.235837208,0.539928668,,0.433733704,,-0.190063084,-0.163481824,0.249445566,,-0.281605344,,,,-0.18617185,0.467842762,0.668530159,,,0.175477847,0.271859882,0.261673476,-0.194790365,-0.078437408,0.433733704,,-0.089505261,,,0.238797208,0.134705856,-0.084759075,-0.162582987,,,,,0.169775285,,0.301935703,,0.238797208,,-0.040417775,-0.135609799,0.704962921,0.433733704,,,0.278070771,0.27650214,0.45860072,0.178783044,-0.147929472,0.199809908,0.613492243,0.693983737,,0.238797208,,,1,-0.13325688,0.252222649,,-0.059156002,0.238797208,0.550695601,,0.238797208,0.172733095,0.684655127,-0.047040173,0.675300121,0.065370568,0.361858485,-0.148803129,-0.243479812,,-0.011969468,,,0.289872756,0.321059015,0.245398168,0.275109335,,,-0.248898762,0.258295712,0.433733704,0.230461198,-0.080920979,0.292330258,,0.199809908,-0.079807442,0.162968025,,0.238797208,-0.090636087,0.776299047,,0.227233102,,-0.146452255,0.221594963,0.078188108,,-0.190063084,0.607464991,-0.045236511,-0.1663118
Singapore,-0.086202859,-0.082736019,-0.116625215,,,-0.087437245,,-0.066666667,-0.083907923,-0.11265852,,,,-0.099700154,-0.066666667,1,-0.085011133,-0.094280904,-0.106715589,-0.066666667,,-0.115289367,,-0.066666667,-0.078210148,-0.081822761,-0.066666667,0.501058644,,,-0.095732042,-0.11457457,-0.070890474,-0.066666667,0.316862125,-0.159970473,-0.066666667,,-0.066666667,-0.083128659,-0.096956071,0.91122845,1,,-0.06716587,-0.066666667,-0.107199986,,-0.066666667,-0.086891496,-0.182039107,,,-0.066666667,-0.102924652,-0.09368915,-0.102026726,,-0.109267046,-0.0973431,-0.074473134,-0.095898382,-0.051205773,-0.079519941,-0.066666667,-0.145301666,1,-0.085430794,0.998402925,,0.531461432,,,-0.089985591,-0.081997234,-0.116336761,,-0.123733318,,-0.066666667,,,-0.066666667,-0.115813203,-0.123359539,-0.104918671,-0.069282503,,-0.086497298,-0.066666667,,0.057331138,-0.003717648,-0.073314549,-0.092244028,0.877118227,0.206975933,0.056033362,-0.092956101,0.750568336,0.097036759,-0.107171152,-0.008528752,,-0.089451229,-0.051794658,,0.683130051,-0.021801254,-0.066666667,-0.119188676,-0.122230603,,-0.066666667,,-0.066666667,-0.070965098,0.999740141,,-0.114843385,,,,-0.070247442,0.05977184,-0.093133393,,,-0.068903235,-0.071511856,-0.098998094,-0.068324811,-0.046518721,-0.066666667,,0.157368322,,,1,-0.085547132,-0.122175215,-0.112018008,,,,,-0.09831844,,-0.087597484,,1,,0.048239752,-0.021385053,0.086879812,-0.066666667,,,0.99600811,-0.069170461,-0.097544516,-0.09707539,-0.115431901,-0.066666667,-0.113629776,-0.089730317,,1,,,0.238797208,-0.098757103,-0.078461064,,-0.167104109,1,-0.066666667,,1,-0.155826794,0.183964857,-0.091927712,-0.119352479,0.158488089,-0.091003829,-0.080277608,-0.085403158,,-0.089050684,,,-0.151086399,-0.096255061,0.612057229,-0.071530249,,,-0.113076285,0.995458255,-0.066666667,-0.115486362,-0.129597219,-0.068941726,,-0.066666667,-0.094923583,-0.1581461,,1,-0.063700927,0.093070322,,-0.058834181,,-0.103601687,-0.158122618,0.034831539,,-0.066666667,-0.119606663,0.073889013,-0.065321161
South Africa,0.039724422,0.037091077,-0.016681184,,,-0.001174738,,0.11855513,0.000945068,-0.053293623,,,,-0.024289409,0.11855513,0.183964857,0.052710633,0.861437193,-0.154309766,0.11855513,,-0.096526322,,-0.061321619,0.017464581,0.002166242,0.903471851,0.31382622,,,-0.066314272,-0.144313799,-0.136224747,-0.143083777,0.011658299,0.035205381,0.903471851,,-0.061321619,-0.040417793,0.002548073,0.328317974,0.183964857,,-0.016708015,-0.061321619,-0.126078158,,0.11855513,0.121161527,-0.223503098,,,0.11855513,-0.152237932,0.776642575,-0.129884363,,-0.1336145,0.567873363,-0.07093783,-0.050850275,0.125501257,-0.031947621,-0.061321619,0.377366955,0.183964857,-0.11855817,0.191078075,,0.659322294,,,-0.093651618,-0.110531194,-0.046667725,,-0.109362977,,0.11855513,,,0.11855513,-0.136149963,-0.171715824,0.143687815,-0.056993221,,0.075482196,0.11855513,,0.324782068,-0.129155318,0.531795458,0.148454852,0.224328267,-0.004393419,0.12331625,0.91644051,0.224715496,-0.042625344,-0.153180352,0.207838968,,0.89750761,-0.118942912,,0.795922172,0.039769247,-0.143083777,-0.20047701,0.571174205,,0.903471851,,-0.061321619,-0.087153666,0.205140351,,-0.190923168,,,,-0.063810606,0.921058079,0.428463073,,,-0.140657195,0.015216874,-0.001955584,-0.145771524,0.11723886,0.903471851,,-0.008384978,,,0.183964857,-0.183606102,-0.146778712,-0.092584398,,,,,0.1379633,,0.076567738,,0.183964857,,-0.056295673,-0.069898114,0.937009778,0.903471851,,,0.265153901,0.016439083,0.53441213,-0.014708045,-0.065816911,-0.143083777,0.816246954,0.476508559,,0.183964857,,,0.684655127,-0.147545524,0.009358052,,0.11230355,0.183964857,0.11855513,,0.183964857,-0.092358022,1,-0.046976301,0.027811771,0.377141674,0.188441883,-0.019784067,-0.058330012,,0.214730079,,,0.024582621,-0.044268871,0.12757938,0.015318347,,,-0.165841723,0.195610994,0.903471851,-0.011555383,-0.042082703,0.04982392,,0.11855513,0.033509842,-0.134000624,,0.183964857,-0.006281828,0.412201257,,-0.093230715,,-0.091013233,-0.035033491,0.07292586,,-0.061321619,0.662996092,0.106478357,-0.100827908
Spain,0.444266677,0.361576461,0.232409724,,,-0.098904286,,0.73998537,0.033722695,0.266063205,,,,0.388420436,0.73998537,-0.119352479,-0.206983601,0.286942821,0.515296772,0.73998537,,0.216210237,,-0.119352479,0.430623321,0.380989876,-0.119352479,0.216526624,,,0.570023285,0.030572997,-0.103498269,-0.119352479,-0.158836777,0.049541309,-0.119352479,,-0.119352479,-0.045504883,0.89021338,-0.048313297,-0.119352479,,0.727376044,-0.119352479,-0.167023639,,0.73998537,0.83461714,0.373479255,,,0.73998537,-0.145789898,-0.167730485,-0.15914364,,0.445091651,-0.174272104,-0.111329128,0.337311794,0.394510626,0.572225805,-0.119352479,-0.040923388,-0.119352479,-0.035554248,-0.126370143,,0.395225415,,,-0.106643696,-0.085082849,0.390316643,,0.003713051,,0.73998537,,,0.73998537,-0.103677581,-0.033356266,0.28801298,-0.091862338,,0.805722497,0.73998537,,0.308409816,-0.124690497,0.269688127,0.426347204,0.247672312,0.852256628,0.902842297,0.105730627,0.395215551,0.600839202,0.454647059,0.240841702,,0.091668284,0.488111523,,-0.174714139,0.439952517,-0.119352479,-0.107293754,0.325822622,,-0.119352479,,-0.119352479,-0.127047906,-0.122480286,,-0.1586174,,,,-0.11032472,-0.103117532,0.661192582,,,0.446957254,0.360202304,0.387326627,-0.122321034,-0.174800409,-0.119352479,,-0.144904294,,,-0.119352479,0.403167384,0.050213987,-0.093564197,,,,,0.153153325,,0.434450869,,-0.119352479,,0.06935614,-0.115554702,0.188923969,-0.119352479,,,-0.130265358,0.361716311,0.256460589,0.302263243,-0.058765524,0.45353942,0.267365053,0.648997868,,-0.119352479,,,0.675300121,-0.027525184,0.348136812,,-0.048000751,-0.119352479,0.73998537,,-0.119352479,0.432906665,0.027811771,0.054859002,1,-0.196751891,0.441090261,-0.087706034,-0.152896179,,-0.159426299,,,0.502140925,0.501217251,0.087035785,0.364976703,,,-0.125605024,-0.130957162,-0.119352479,0.365744324,0.023966256,0.354767503,,-0.119352479,-0.097169283,0.430351517,,-0.119352479,-0.084870837,0.773264907,,0.455171232,,-0.03040949,0.49987956,0.034741446,,-0.119352479,0.379933901,-0.165353192,-0.120972609
Sweden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turkey,0.280076142,0.358236718,0.64678122,,,0.73664683,,-0.110817849,-0.14647178,0.717133931,,,,0.518554588,-0.110817849,-0.129597219,0.4546739,-0.074648382,0.259797875,-0.110817849,,0.183389953,,0.730602287,-0.013800444,0.322177213,-0.017964294,-0.087553916,,,0.219956734,0.185859951,-0.147451568,-0.147854941,0.645223239,0.620605275,-0.017964294,,0.730602287,0.7528334,-0.096139305,0.14658135,-0.129597219,,0.112186848,0.730602287,0.451722895,,-0.110817849,-0.016378646,0.431689931,,,-0.110817849,0.302951424,0.357295382,0.417204054,,0.420600923,0.55671183,0.719727138,-0.169560981,0.372166502,-0.043420337,0.730602287,0.652655526,-0.129597219,-0.099297326,-0.138251008,,-0.16793463,,,0.716033381,-0.067149179,0.603882519,,-0.027917666,,-0.110817849,,,-0.110817849,0.580169797,0.221523701,0.574800087,0.727766924,,-0.130224468,-0.110817849,,0.254393128,0.502758087,0.184795358,0.269189213,-0.171172476,0.152633142,-0.038082924,-0.016606888,-0.176384339,0.00397035,0.376398926,0.174714832,,-0.040105825,0.228634738,,-0.108003969,0.264772412,-0.147854941,0.056197279,0.301905971,,-0.017964294,,0.730602287,-0.149301475,-0.130471562,,0.208040794,,,,0.732100408,0.120828436,-0.054455319,,,0.04209162,0.295358533,0.326152302,-0.14217372,0.58001764,-0.017964294,,0.532737484,,,-0.129597219,-0.048687501,0.23406317,0.006734633,,,,,0.293371288,,0.065481922,,-0.129597219,,0.650482327,0.502580511,0.010942275,-0.017964294,,,-0.131459933,0.274179629,-0.020789301,0.599508734,0.271623171,-0.010661205,0.146348091,-0.111662805,,-0.129597219,,,-0.080920979,0.023210133,0.361245181,,0.386155932,-0.129597219,-0.110817849,,-0.129597219,0.303677907,-0.042082703,0.793803807,0.023966256,0.716428101,0.351140953,0.741908022,0.669624072,,-0.147126984,,,0.238703235,0.293807821,-0.169008445,0.285455501,,,0.373360397,-0.143939995,-0.017964294,0.427252356,1,0.265665283,,-0.147854941,-0.156804647,0.440221429,,-0.129597219,-0.13649771,-0.139520419,,0.036910122,,0.834167495,0.550021203,0.590873342,,0.730602287,0.009610589,-0.170503632,-0.148596855
United Arab Emirates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,-0.086202859,-0.082736019,-0.116625215,,,-0.087437245,,-0.066666667,-0.083907923,-0.11265852,,,,-0.099700154,-0.066666667,1,-0.085011133,-0.094280904,-0.106715589,-0.066666667,,-0.115289367,,-0.066666667,-0.078210148,-0.081822761,-0.066666667,0.501058644,,,-0.095732042,-0.11457457,-0.070890474,-0.066666667,0.316862125,-0.159970473,-0.066666667,,-0.066666667,-0.083128659,-0.096956071,0.91122845,1,,-0.06716587,-0.066666667,-0.107199986,,-0.066666667,-0.086891496,-0.182039107,,,-0.066666667,-0.102924652,-0.09368915,-0.102026726,,-0.109267046,-0.0973431,-0.074473134,-0.095898382,-0.051205773,-0.079519941,-0.066666667,-0.145301666,1,-0.085430794,0.998402925,,0.531461432,,,-0.089985591,-0.081997234,-0.116336761,,-0.123733318,,-0.066666667,,,-0.066666667,-0.115813203,-0.123359539,-0.104918671,-0.069282503,,-0.086497298,-0.066666667,,0.057331138,-0.003717648,-0.073314549,-0.092244028,0.877118227,0.206975933,0.056033362,-0.092956101,0.750568336,0.097036759,-0.107171152,-0.008528752,,-0.089451229,-0.051794658,,0.683130051,-0.021801254,-0.066666667,-0.119188676,-0.122230603,,-0.066666667,,-0.066666667,-0.070965098,0.999740141,,-0.114843385,,,,-0.070247442,0.05977184,-0.093133393,,,-0.068903235,-0.071511856,-0.098998094,-0.068324811,-0.046518721,-0.066666667,,0.157368322,,,1,-0.085547132,-0.122175215,-0.112018008,,,,,-0.09831844,,-0.087597484,,1,,0.048239752,-0.021385053,0.086879812,-0.066666667,,,0.99600811,-0.069170461,-0.097544516,-0.09707539,-0.115431901,-0.066666667,-0.113629776,-0.089730317,,1,,,0.238797208,-0.098757103,-0.078461064,,-0.167104109,1,-0.066666667,,1,-0.155826794,0.183964857,-0.091927712,-0.119352479,0.158488089,-0.091003829,-0.080277608,-0.085403158,,-0.089050684,,,-0.151086399,-0.096255061,0.612057229,-0.071530249,,,-0.113076285,0.995458255,-0.066666667,-0.115486362,-0.129597219,-0.068941726,,-0.066666667,-0.094923583,-0.1581461,,1,-0.063700927,0.093070322,,-0.058834181,,-0.103601687,-0.158122618,0.034831539,,-0.066666667,-0.119606663,0.073889013,-0.065321161
United States,-0.063626355,-0.11783729,-0.175323914,,,-0.103961252,,0.883218364,0.021125217,-0.138027974,,,,-0.111444028,0.883218364,0.093070322,-0.148117193,0.684968052,0.129184484,0.883218364,,-0.181178824,,-0.119661843,0.257176994,-0.119884609,0.245021869,0.389773631,,,0.023739295,-0.170323693,-0.10287337,-0.119661843,-0.078360365,-0.11364974,0.245021869,,-0.119661843,-0.082155781,0.850414462,0.19725305,0.093070322,,0.747429947,-0.119661843,-0.164294291,,0.883218364,0.81017297,0.159644561,,,0.883218364,-0.174499925,0.157973413,-0.158194453,,0.274430518,0.07377228,-0.108000013,0.421888863,-0.057217846,0.408281764,-0.119661843,0.034870238,0.093070322,-0.099134054,0.086497715,,0.814164147,,,-0.161517625,-0.123700416,-0.094723175,,-0.18153188,,0.883218364,,,0.883218364,-0.193750978,-0.221421447,0.420152734,-0.086809677,,0.905719151,0.883218364,,0.001315069,-0.110634933,0.055838963,-0.034621614,0.509753343,0.640044112,0.865921839,0.506864496,0.658890443,0.354850727,0.114885149,0.013720946,,0.441953262,0.164342253,,0.247458145,-0.048755044,-0.119661843,-0.21393505,0.125946116,,0.245021869,,-0.119661843,-0.104673021,0.09858357,,-0.193001018,,,,-0.115905455,0.301980263,0.927885971,,,0.182891156,-0.123070346,-0.1210134,-0.122638093,-0.060194689,0.245021869,,-0.052900628,,,0.093070322,0.171073239,-0.21929567,-0.125558963,,,,,-0.131837749,,0.298754825,,0.093070322,,0.107900553,-0.08657972,0.466017745,0.245021869,,,0.115173977,-0.120019791,0.335639804,-0.148078461,-0.016993922,0.21463156,0.656270529,0.931076875,,0.093070322,,,0.776299047,-0.169835113,-0.13480369,,-0.107704434,0.093070322,0.883218364,,0.093070322,0.118800039,0.412201257,-0.165003591,0.773264907,-0.002642712,0.169600654,-0.099374505,-0.153292488,,-0.018414693,,,0.053479317,-0.046934127,0.262139304,-0.120357306,,,-0.184963437,0.081822522,0.245021869,-0.127901973,-0.139520419,-0.111898429,,-0.119661843,-0.042685576,-0.048735219,,0.093070322,-0.050891096,1,,0.241390071,,-0.171242926,0.417430983,-0.109275947,,-0.119661843,0.558144277,-0.044208477,-0.104260503
